"id","generated_procedure_name","generated_procedure_description","procedure_name"
1214,"select intercarotid incr uni* ea addl","select intercarotid incr uni* ea addl","select intercarotid incr uni* ea addl"
1215,"Leadless Pacemaker Removal Procedure.","This medical procedure is the removal of a leadless pacemaker without the need for a surgical incision. The device is removed through the femoral vein using specialized tools and imaging guidance.","leadless pm removal"
1216,"Second-Level Duct Occlusion Procedure","No description.","duct occluder level 2"
1217,"The Platelet Antibody Screening Test.","The Platelet Antibody Screening Test.","id platelet ab screen"
1218,"Physically-Saturated Prostate Biopsy.","biopsy: a medical procedure in which a sample of tissue or cells is removed from a person's body to be examined under a microscope, typically to diagnose or determine the extent of a disease or condition.","phy-sat pros biopsy any"
1219,"bur acromionizer 4.0 lg suct wdo dspl","bur acromionizer 4.0 lg suct wdo dspl","bur acromionizer 4.0 lg suct wdo dspl"
1220,"Mini Tight Rope Kit Repair Procedure.","Mini Tight Rope Kit Repair Procedure.","kit repair mini tight rope ar-8911ds"
1221,"5cc Injection of Promodel Bone Filler","No Description","bone filler promodel inject 5cc"
1222,"Cartilage Tissue Biopsy Transport Kit","No Description","kit carticel biopsy transport"
1223,"filter dual replacement kit a/b a1567","filter dual replacement kit a/b a1567","filter dual replacement kit a/b a1567"
1224,"Quick Connect 2.7mm Tapping Procedure","It is possible that tap quick connect 2.7mm could refer to a medical instrument or device used during a specific procedure. It is recommended to consult with a medical professional for further information.","tap quick connect 2.7mm"
1225,"fiber laser holmium accutrac 200 5/bx","fiber laser holmium accutrac 200 5/bx","fiber laser holmium accutrac 200 5/bx"
1226,"Ultrasound-Guided Fine-Needle Biopsy.","This medical procedure involves using a needle with an echotip and ultrasound technology to guide it. The needle has a diameter of 19 gauge and is 8 cm in length. The HD may refer to high definition imaging. This procedure may be used for tissue biopsy, fluid aspiration, or injection of medication directly into a specific area of the body.","needle ultrasound echotip 19gax8cm hd"
1227,"pump penile scrotal 700 21cm 72404253","pump penile scrotal 700 21cm 72404253","pump penile scrotal 700 21cm 72404253"
1228,"FlexiLase Fiber 365 Micron Procedure.","No Description","fiber laser flexiva 365 micron 1/ea"
1229,"Fiber Laser Dermatological Procedure.","Fiber Laser Dermatological Procedure.","fiber laser 0.2mm 10-0952"
1230,"pump penile scrotal 700 12cm 72404250","pump penile scrotal 700 12cm 72404250","pump penile scrotal 700 12cm 72404250"
1231,"Tibial Knee Augmentation: Size 2, 5mm","Tibial Knee Augmentation: Size 2, 5mm","knee tibial augmentation sz2 5mm"
1232,"Direct Access Cannula System Surgery.","Direct Access Cannula System Surgery.","system direct access cannulatome"
1233,"Cable Connection with 8-Contact Strip","No description.","cable in line connector 8 contact strip"
1234,"Four-Point Electrode Strip Procedure.","Four-Point Electrode Strip Procedure.","electrode strip 4 contact 2102-04-032"
1235,"Sonic tip removal surgery (for short)","Sonic tip removal surgery (for short)","tip micro sonopet 12cm iq"
1236,"CT scan of right foot with contrast.","CT Foot with Contrast Right is a medical procedure that involves using computed tomography (CT) imaging to obtain detailed images of the foot with the use of contrast material to enhance the quality of the image. It is typically used to evaluate injuries or conditions that affect the bones, cartilage, and soft tissues of the foot.","ct foot w/ contrast right"
1237,"CT scan of left ankle with contrast.","CT (Computed Tomography) ankle with contrast left is a medical imaging test that uses X-rays and computer technology to create detailed images of the bones, joints, and soft tissues in the left ankle. A contrast agent is usually used to highlight the blood vessels and other structures in the ankle for better visualization. The test can help diagnose injuries or conditions such as fractures, sprains, arthritis, tumors, or infections.","ct ankle w/ contrast left"
1238,"Left shoulder CT scan with contrast.","CT shoulder with contrast left is a medical imaging procedure that involves using X-rays and a contrast material to produce detailed images of the left shoulder. The contrast material is injected into a vein in the arm to help enhance the visibility of blood vessels and other structures in the shoulder. This procedure helps doctors diagnose a range of conditions, including fractures, dislocations, tumors, and other problems that can affect the shoulder joint.","ct shoulder w/ contrast left"
1239,"Bilateral CT Hip Scan with Contrast.","This is a medical imaging test that uses CT (computed tomography) to create detailed images of the hips, using a contrast dye to highlight specific areas. It is performed on both hips.","ct hip w/ contrast bilateral"
1240,"Maxillofacial CT scan with contrast.","This medical procedure involves performing a computed tomography (CT) scan of the head and neck region including the jaws and face, with the use of a contrast material to better visualize certain structures. It is typically used to diagnose and evaluate conditions affecting the maxillofacial region, such as tumors, infections, fractures, and sinusitis.","ct maxillofacial w/ contrast"
1241,"Right Wrist CT with Contrast Imaging","Computed tomography (CT) wrist with contrast right is a medical imaging procedure that uses X-rays to produce detailed images of the wrist joint. Contrast dye is often injected into the patient's vein to enhance the visibility of blood vessels and soft tissues in the wrist. This procedure is typically performed to diagnose conditions such as fractures, arthritis, and tumors in the wrist.","ct wrist w/ contrast right"
1242,"Left Wrist CT Scan without Contrast.","This medical procedure is a computed tomography (CT) scan of the left wrist without contrast dye. It is a diagnostic imaging test that uses X-rays and computer technology to create detailed images of the bones, muscles, tendons, and other structures in the wrist. It is commonly used to diagnose fractures, arthritis, and other conditions affecting the wrist.","ct wrist w/o contrast left"
1243,"Cervical Spine MRI without Contrast.","This medical procedure is a magnetic resonance imaging (MRI) scan of the cervical spine (neck) without the use of contrast dye.","mri spine cervical w/o contrast"
1244,"Left Kidney Ultrasound-Guided Biopsy","This is a medical procedure called Left Renal Biopsy. It is a procedure where a small tissue sample is taken from the left kidney for diagnostic purposes.","us biopsy renal left"
1245,"Psychiatric Evaluation Consultation.","This medical procedure is a psychiatric diagnostic evaluation, which is a comprehensive assessment of a patient's mental health status performed by a licensed mental health professional. It involves gathering information about the patient's medical history, current symptoms, and overall functioning, as well as performing appropriate diagnostic tests and evaluating the patient's response to treatment. The procedure is typically used to diagnose mental illnesses and to develop a personalized treatment plan for the patient.","$$ psychiatric diagnostic evaluation 90791"
1246,"Otoacoustic Emissions Screening Test","This is a medical procedure known as Evoked Otoacoustic Emissions (EOAE) Screening Automated Analysis, which uses a small probe inserted into the ear to assess the functioning of the inner ear and auditory nerve. The procedure involves playing a sound into the ear and measuring the response of the hair cells in the inner ear. The results are analyzed automatically by a computer, which can help identify hearing problems or other issues with the auditory system. The CPT code for this procedure is 92558.","evoked otoacoustic emissions, screening automated analysis 92558"
1247,"CT-guided pleural catheter drainage.","This is a medical procedure performed to drain fluid or air that has accumulated in the pleural space (the space between the lungs and chest wall) using a catheter under the guidance of a CT scan. It's commonly known as CT-guided pleural drainage.","ct drain pleura w cath w ct guidance"
1248,"Ultrasound-guided lymph node biopsy.","A lymph node biopsy is a medical procedure that involves removing a small part of a lymph node to examine it for the presence of abnormal or cancerous cells. It is commonly used to diagnose and monitor the progression of lymphatic disorders, such as lymphoma or leukemia.","us biopsy lymph node"
1249,"Single-Sided Neck Artery Examination","Single-Sided Neck Artery Examination","select carot/innomin incran uni*"
1250,"Spinal Imaging with Lumbar Injection","The medical procedure is a myelogram. It involves injecting a contrast dye into the spinal canal and then taking X-ray images to examine the spinal cord and nerves. The specific type mentioned is a lumbosacral myelogram, which focuses on the lower back and sacral region.","myelogogram lumbosacral inject & img*"
1251,"Replacement of a single lead system.","This medical procedure involves removing and replacing a single lead system for a pacemaker. The lead is the wire that connects the pacemaker to the heart, and replacing it may be necessary if the lead becomes damaged, malfunctions, or needs to be upgraded. The procedure typically involves accessing the lead through a small incision and carefully removing the old lead before inserting the new one and securing it in place.","removal w replacment pm single lead system"
1252,"Cardiac Velocity Flow Mapping by MRI","This is a medical procedure called MRI (Magnetic Resonance Imaging) Cardiac Velocity Flow Mapping. It is a type of MRI test that is used to measure the velocity and flow of blood through the heart and blood vessels. This can help doctors diagnose and manage conditions such as heart valve dysfunction, congenital heart defects, and other cardiovascular diseases.","mri cardiac volcity flow mapping"
1253,"Round Mesh Implant for Hernia Repair","This is a medical procedure used to repair a hernia by using a mesh plug or patch that is approximately 8cm in diameter. The mesh is placed over the hernia to reinforce the area and prevent it from protruding through the weakened muscle or tissue.","mesh hernia plug/patch 8cm round"
1254,"MyoSure XL Tissue Removal Procedure.","This is a medical procedure that involves using a device called MyoSure XL for the removal of tissue. The device is designed for the removal of fibroids, polyps, and other tissue growths in the uterus. It is a minimally invasive procedure that involves inserting the device through the cervix and into the uterus, where it removes the targeted tissue. MyoSure XL is often used as an alternative to traditional surgery and is associated with faster recovery times and fewer complications.","device tissue removal myosure xl"
1255,"Laser-assisted Gynecological Surgery","Laser-assisted Gynecological Surgery","fiber laser dsl xpeeda"
1256,"Baby Delivery using Pinnacle Forceps","Baby Delivery using Pinnacle Forceps","forceps bb removal pinnacle disp"
1257,"3.5mm Quick Connect Driver Insertion","3.5mm Quick Connect Driver Insertion","driver hex ao quick connect 3.5mm"
1258,"Optilite Holmium Laser Fiber Surgery","Optilite Holmium Laser Fiber Surgery","fiber laser optilite holmium 365"
1259,"Prodigy System Implant MRI Procedure","Prodigy System Implant MRI Procedure","system implant generator prodigy mri 3772"
1260,"Rapid Spinal Injury Fixation Surgery","No description available.","bit drill traumaone quick connect sp-2712"
1261,"MyoSure XL Tissue Removal Procedure.","This is a medical procedure called MyoSure, which is a device used for tissue removal in the uterus, typically for the treatment of fibroids. FMS-XL EA/3 may refer to the specific model or size of the MyoSure device.","device tissue removal myosure fms-xl ea/3"
1262,"Fine Needle Aspiration Biopsy (FNAB)","This is a medical procedure known as a needle biopsy, which involves the removal of tissue or cells from a particular area of the body using a specialized needle. The disp 1.8x235mm likely refers to the type and size of needle used, while 41779 is likely a product or inventory code.","needle biopsy disp 1.8x235mm 41779"
1263,"Alloderm Medium Skin Graft – 4x7cm","This is a medical procedure known as Alloderm grafting, where a piece of alloderm (a type of human donor tissue) is used to replace damaged or missing tissue in the body. The size of the graft in this case is 4x7cm, which refers to the dimensions of the piece of alloderm being used.","graft alloderm select medium 4x7cm"
1264,"Wound Check-Up and Healing Treatment","Wound therapy is a medical procedure in which a wound is treated using various techniques and methods to aid in the healing process. This can include cleaning the wound, removing any debris or dead tissue, applying dressings or bandages, and using specialized treatments such as negative pressure wound therapy or hyperbaric oxygen therapy. The goal of wound therapy is to promote healing and prevent infection or further complications.","ot re-evaluation, wound therapy"
1265,"Assessment of the Ear and Wound Care","No Description","ot evaluation, low complex wound"
1266,"pump penile scrotal titan 0deg 16mm","pump penile scrotal titan 0deg 16mm","pump penile scrotal titan 0deg 16mm"
1267,"CT scan of right hip with contrast.","CT (Computed Tomography) hip with contrast right is a medical imaging procedure that uses a combination of X-rays and computer technology to produce detailed images of the hip joint area. Contrast is a type of dye that is injected into the body to help enhance the visibility of certain parts of the body, in this case, the hip joint area. The purpose of this procedure is to evaluate any issues or conditions affecting the hip joint, such as fractures, arthritis, tumors, and infections.","ct hip w/ contrast right"
1268,"MRI of Right Knee without Contrast.","This is a medical imaging procedure called MRI (Magnetic Resonance Imaging) of the right knee without the use of a contrast agent. It is used to obtain detailed images of the soft tissues, bones, and joints in the knee to diagnose injuries, infections, or other medical conditions.","mri knee w/o contrast right"
1269,"Left elbow CT arthrogram injection.","This is a medical procedure called CT arthrogram of the elbow with injection on the left side. It involves injecting a contrast dye or a local anesthetic into the elbow joint, which is then examined using a computed tomography (CT) scan to obtain detailed images of the joint's structures. It is usually done to diagnose and treat conditions such as fractures, ligament or tendon injuries, arthritis or joint pain.","ct arthrogram elbow injection left"
1270,"Advanced Foreign Object Extraction.","Foreign body removal is a medical procedure where a foreign object, such as a splinter, a piece of glass or metal, or any other object that has entered the body, is removed by a healthcare professional. In complex cases, the procedure may involve the use of specialized equipment or surgical intervention.","foreign  body removal, complex"
1271,"Stereotactic CT-guided Localization","It is a medical procedure that uses CT guidance to precisely locate a target area in the body for treatment or biopsy using stereotactic techniques. This can be done for a variety of conditions, including cancer, neurological disorders, and chronic pain.","ct guidance stereotactic localization"
1272,"Clearing of Blocked Intestinal Tube","The medical procedure is the removal of a mechanical obstruction in the gastrointestinal (GI) tube.","removal mech obstructed gi tube*"
1273,"Fixation Device Extraction Surgery.","Fixation Device Extraction Surgery.","removal of fixation device"
1274,"High-Dose Nutrient Infusion Therapy","High-Dose Nutrient Infusion Therapy","formula, impact 1,000 mls"
1275,"Ultrasound-Guided Medical Procedure","Ultrasound-Guided Medical Procedure","us ultrasound assistance"
1276,"Biliary Stone Elimination Procedure","Endoscopic retrograde cholangiopancreatography (ERCP) with sphincterotomy and stone extraction.","removal or destruction biliary stone *"
1277,"Protective Sleeve Coring Procedure.","Protective Sleeve Coring Procedure.","sleeve coring protect 9mm 900729"
1278,"Laser Therapy for Skin Rejuvenation","Laser Therapy for Skin Rejuvenation","laser system rental npl0120"
1279,"Laser Rental Treatment - FELS-25A-R","Laser Rental Treatment - FELS-25A-R","laser system rental fels-25a-r"
1280,"shell travecular act multihole 56mm","shell travecular act multihole 56mm","shell travecular act multihole 56mm"
1281,"Passive Needle Biopsy Kit Procedure","No Description","kit needle biopsy passive 9733068"
1282,"Removal of 10mm Sterile Reamer Core","No description.","reamer coring removal 10mm sterile"
1283,"drill twist mri 5/16 00-9986-010-26","drill twist mri 5/16 00-9986-010-26","drill twist mri 5/16 00-9986-010-26"
1284,"Laser-guided Holmium Fiber Surgery.","No Description given.","fiber laser holmium accutrac 1000"
1285,"Myosure XL Tissue Removal Procedure","This medical procedure involves the use of a device called Myosure XL 50-501XL, which is designed for tissue removal. Specifically, it is used to remove abnormal tissue growth in the uterus such as fibroids or polyps. The device is minimally invasive, using a small camera and instruments to access the uterus and remove the tissue without the need for major surgery.","device tissue removal myosure xl 50-501xl"
1286,"scope blown laser bridge c12359-023","No description.","scope blown laser bridge c12359-023"
1287,"Posterior Knee 8mm PFC Augmentation","This is a medical procedure in which an 8mm posterior PFC (Posterior-stabilized femoral component) is used to augment the knee joint. It involves the insertion of a prosthesis to replace damaged or diseased parts of a knee joint.","knee augmentation posterior pfc 8mm"
1288,"Distal Knee Augmentation Procedure.","Distal Knee Augmentation Procedure.","knee augmentation distal lt 4mm 96-0860"
1289,"Anterior Prolapse Elevation Surgery","Elevate anterior prolapse repair is a surgical procedure to repair prolapse of the pelvic organs, specifically the bladder and/or urethra, through an incision in the vaginal wall. The procedure involves using a mesh to support the pelvic organs and elevate them back into their normal position.","elevate anterior prolapse repair"
1290,"Meniscal CurveFix Repair Procedure.","Meniscal CurveFix Repair Procedure.","meniscal device repair up-curve cm-8002"
1291,"knife sonopet serrated 5450-815-114","knife sonopet serrated 5450-815-114","knife sonopet serrated 5450-815-114"
1292,"Surgical Model XL Defect Repair Kit","Surgical Model XL Defect Repair Kit","kit surgical model std for defect xl"
1293,"Synthecel Dura Repair - 10.0x12.0cm","The medical procedure is the repair of dura using Synthecel, a synthetic material, which measures 10.0x12.0cm in size. The Dura is a thick membrane that covers the brain and spinal cord, and sometimes it needs to be repaired after surgery or trauma. Synthecel is a material designed to act as a temporary barrier that helps the body heal and repair the damaged tissue.","repair dura synthecel 10.0x12.0cm"
1294,"knife sonopet serrated 5450-815-107","No Description","knife sonopet serrated 5450-815-107"
1295,"Endoscopic Upper Extremity Surgery.","Endoscopic Upper Extremity Surgery.","knife endoscopic upper ext 3310c"
1296,"Fiber Laser Slimline Endo Procedure","Fiber Laser Slimline Endo Procedure","fiber laser slimline endo 550 disp"
1297,"Lung Biopsy using a 22-Gauge Needle","This is a medical procedure called needle aspiration using a 22-gauge needle. The context of expect pulmonary suggests that the procedure involves the lungs. Needle aspiration typically involves using a needle to extract fluid or tissue from a specific area of the body for further examination or diagnosis. In this case, it may be used to collect fluid or cells from the lungs for analysis.","needle aspiration 22ga expect pulmonary"
1298,"Acute Aortic Dissection Repair Kit.","Acute Aortic Dissection Repair Kit.","kit repair acute ac"
1299,"Precision meniscal repair procedure","Suture repair using the NovoStitch Pro system for meniscal tears. CTX-A004 is a type of suture used in this procedure.","suture novostitch pro meniscal repair ctx-a004"
1300,"Endoscopic Plantar Fasciotomy (EPF)","Endoscopic Plantar Fasciotomy (EPF)","probe endoscopic plantar fascia 7046"
1301,"64-Contact Electrode Grid Procedure","Medical Procedure: Placement of a 64-electrode grid with 2110-64-098 as the product code. This procedure involves placing a grid of electrodes on a patient's brain to monitor and record brain activity. This type of procedure is commonly used in neurological research and in the diagnosis and treatment of epilepsy and other neurological disorders.","electrode grid 64 contact 2110-64-098"
1302,"helmet protect soft prefab a8000xnu","No description.","helmet protect soft prefab a8000xnu"
1303,"Everest-Sharp Sterile Scalpel Blade","Medical procedure: No Description","scalpel blade perfect everest sterile"
1304,"Lumbar Disc X-ray Injection Therapy","Lumbar Disc X-ray Injection Therapy","injection for spine disk xray lumbar"
1305,"X-ray diagnosis of abnormal fistula","X-ray diagnosis of abnormal fistula","xray exam of fistula"
1306,"Right Upper Extremity CT Angiogram","CT angiography (computed tomography angiography) of the upper extremity right is a medical imaging procedure that uses X-rays and computer processing to generate detailed images of blood vessels in the right upper extremity. This procedure is used to diagnose blockages or other problems in the blood vessels of the arm.","ct angio upper extremity right"
1307,"MRI of the brain without contrast.","This is a medical procedure where images of the brain are taken using magnetic resonance imaging (MRI) without the use of contrast agents. It can help diagnose a variety of neurological conditions.","mri brain w/o contrast"
1308,"MRI of the left hip with contrast.","This is a medical procedure called Magnetic Resonance Imaging (MRI) of the left hip with the use of a contrast agent.","mri hip w/ contrast left"
1309,"Ultrasound-guided prostate biopsy.","A biopsy of the prostate is a medical procedure in which a small piece of tissue is removed from the prostate gland for examination under a microscope. It is typically performed to diagnose prostate cancer or other prostate conditions. A needle is inserted through the rectum or the perineum (the area between the scrotum and anus) to collect tissue samples. The biopsy is usually done with local anesthesia and takes about 10-15 minutes to complete.","us biopsy prostate"
1310,"Right digital mammogram screening.","This is a medical procedure known as Digital Mammography Screening of the Right Breast. It is a diagnostic tool used to detect abnormalities or changes in breast tissue using digital images.","mg mammo digital screening right"
1311,"MRI of the arm nerves without dye.","This is a medical imaging procedure where a magnetic resonance imaging (MRI) scanner is used to create detailed images of the brachial plexus without the use of a contrast agent. The brachial plexus is a complex network of nerves that runs from the neck to the armpit and down the arm, and this procedure can help diagnose conditions affecting this area such as nerve damage, tumors, or inflammation.","mri brachial plexus w/o contrast"
1312,"Peritoneal Contrast/Air Injection.","The medical procedure is known as peritoneal cavity injection. It involves injecting contrast or air into the peritoneal cavity for diagnostic or therapeutic purposes. The peritoneum is the membrane that lines the abdominal cavity and covers the organs inside it. By injecting contrast or air into the peritoneal cavity, doctors can perform imaging tests such as X-rays or CT scans to diagnose conditions like peritoneal cancer or identify the presence of abdominal fluid. In some cases, therapeutic injections of medication may also be administered to treat conditions like ascites.","inject contrast/air peritoneal cavity"
1313,"X-ray guided transcatheter therapy","X-ray guided transcatheter therapy","xray transcath therapy"
1314,"Unilateral Pulmonary Artery X-Ray.","Unilateral Pulmonary Artery X-Ray.","artery xray lung unilat"
1315,"MRI scan for rectal cancer staging","This medical procedure is Magnetic Resonance Imaging (MRI) for Rectal Cancer Staging, a noninvasive imaging test that uses strong magnetic fields and radio waves to produce detailed images of the rectum and surrounding structures. It is commonly used to evaluate the extent and spread of rectal cancer before surgery or other treatments.","mri rectal cancer staging"
1316,"inf/n impact recovery forumla case","inf/n impact recovery forumla case","inf/n impact recovery forumla case"
1317,"Buprenorphine drug screening test.","The medical procedure is Drug Screen Buprenorphine, which is a laboratory test used to detect the presence of the medication buprenorphine in a person's system. Buprenorphine is a medication commonly used to treat opioid addiction and dependence.","drug screen buprenorphine"
1318,"Comprehensive Drug Screening Panel","No Description","drug screen class list a 4461810"
1319,"Micron Pin Hole Surgical Procedure","Micron Pin Hole Surgical Procedure","bit drill w/quick connect 2.7mm 71173503"
1320,"Mesh Enhanced Hernia Repair System","This is a medical procedure called Mesh Hernia Repair or Hernia Mesh Surgery. It involves using a synthetic mesh to reinforce the weakened tissue in the abdominal wall and prevent the hernia from recurring. The mesh is placed over the affected area, and the surgical site is closed with sutures or staples.","mesh overlay hernia ext system"
1321,"putty matrix conduct 10cc 844.010s","No description.","putty matrix conduct 10cc 844.010s"
1322,"Quick Connect DRUJ-T35 Arthroscopy","Quick Connect DRUJ-T35 Arthroscopy","tap 3.5mm quick connect druj-t35"
1323,"MRI-Compatible Programming Surgery","MRI-Compatible Programming Surgery","programmer patient mri compatible"
1324,"Mini Tight Rope Repair Kit (1.1mm)","Mini Tight Rope Repair Kit (1.1mm)","kit repair mini tight rope 1.1mm"
1325,"Custom XL Cranial Implant Surgery.","This is a medical procedure to implant a custom XL cranial peek defect. This involves the insertion of a custom-made cranial implant to repair a defect in the skull. Cranial peek implants are made of a type of plastic material called polyetherketoneketone, which is biocompatible and often used for implants due to its strength and durability. The XL designation refers to the implant size, which is larger than standard sizes.","implant cranial peek defect custom xl"
1326,"TruCore™ Needle Biopsy Procedure","needle biopsy","needle biopsy murphy dbbn-13-15.0-m2-s"
1327,"cath mri powerport isp 8fr 4808060","cath mri powerport isp 8fr 4808060","cath mri powerport isp 8fr 4808060"
1328,"Holmium Laser Surgery for Fibroids","Holmium Laser Surgery for Fibroids","fiber laser holmium 550 hb-550-pl"
1329,"drill bit 2.0 quick connect da2018","drill bit 2.0 quick connect da2018","drill bit 2.0 quick connect da2018"
1330,"Biodesign Ear Graft Repair - 5x5cm","This is a medical procedure for graft repair using biodesign material measuring 5x5cm in the field of otology. It involves repairing or replacing damaged tissue in the ear using a biocompatible synthetic material.","graft repair otologic biodesign 5x5cm"
1331,"Brain Mapping with Deep Electrodes","The medical procedure is SEEG (stereoelectroencephalography) with electrode depth of 10 contacts and 65mm recording, using a 2.4mm drill.","electrode depth seeg 10 contact 65mm recording 2.4mm drill"
1332,"SlimLaseTM Fiber Laser Liposuction","SlimLaseTM Fiber Laser Liposuction","fiber laser slimline 1000 sis"
1333,"Femur Removal Support Bolt or FRSB","Femur Removal Support Bolt or FRSB","profemur removal bolt nxcp-bolt"
1334,"Internal Brace Lisfranc Kit Repair","This is a medical procedure called InternalBrace™ Ligament Augmentation Repair of the Lisfranc Injury. It involves using a specially designed InternalBrace™ ligament augmentation system to repair the Lisfranc joint complex in the foot. The InternalBrace™ is a strong, non-absorbable suture tape that is used to reinforce the ligaments and tendons in the foot to ensure proper healing and stability.","kit repair internalbrace lisfranc"
1335,"Fine Needle Core Biopsy (25 Gauge)","This is a medical procedure known as a fine needle sharkcore biopsy using a 25-gauge needle. It is a method of collecting a small tissue sample using a needle to help diagnose medical conditions such as cancer.","needle biopsy fine sharkcore 25ga c-25-05"
1336,"device percepta crtp mri us w1tr01","device percepta crtp mri us w1tr01","device percepta crtp mri us w1tr01"
1337,"Tisseel Injection with CT Guidance","A CT-guided Tisseel injection is a medical procedure that involves the injection of Tisseel, a fibrin sealant, into a specific location in the body under the guidance of a CT scan. This procedure is commonly used to seal or reinforce tissue that has been damaged or weakened due to injury, surgery, or disease. The CT scan helps to ensure that the fibrin sealant is accurately delivered to the target location.","ct guided tisseel injection"
1338,"X-ray-guided catheter replacement.","X-ray-guided catheter replacement.","xray control catheter change"
1339,"Left Elbow CT Scan with Contrast.","This is a medical imaging test called a CT (computed tomography) scan of the left elbow with contrast. Contrast is a special dye that may be injected into the veins before the scan to make certain structures more visible. This test can help evaluate any damage or abnormalities in the bones, joints, muscles, and other tissues of the left elbow.","ct elbow w/ contrast left"
1340,"Right Shoulder MRI with Contrast.","MRI (magnetic resonance imaging) is a medical imaging procedure that uses a magnetic field, radio waves, and a computer to produce detailed images of internal body structures. In this particular case, the procedure is a MRI of the right shoulder with contrast. Contrast is a substance injected into the body that helps certain tissues or organs to show up more clearly on the MRI images.","mri shoulder w/ contrast right"
1341,"Cervical Spine MRI with Contrast.","MRI (Magnetic Resonance Imaging) of the cervical spine (neck) with the use of a contrast agent to better visualize the structures in the area.","mri spine cervical w/ contrast"
1342,"Right Hip CT Arthrogram Injection","CT arthrogram hip injection is a medical procedure used to diagnose hip joint pain or injury. This procedure involves injecting a contrast agent into the hip joint and taking images of the joint using a CT scanner. The contrast agent helps to clearly highlight any damage or injury to the joint, such as tears in the labrum or cartilage. It can be used to diagnose conditions such as hip osteoarthritis, hip impingement, and labral tears.","ct arthrogram hip injection right"
1343,"CT-guided abdominal paracentesis.","This is a medical procedure involving the removal of fluid from the abdomen (paracentesis) with the guidance of a CT scan.","ct paracentesis abdominal w/ ct guidance"
1344,"X-ray guided sinus tract surgery.","X-ray guided sinus tract surgery.","xr sinus tract si"
1345,"Spect Delayed Parathyroid Imaging","Spect Delayed Parathyroid Imaging","nm parathyroid imaging w/ spect delay 1"
1346,"Foreign Body Extraction Procedure","No Description","foreign body removal, intermediate"
1347,"MRI Hydrocephalus Diagnostic Test","This is a medical procedure called MRI hydrocephalus screen. It is a diagnostic imaging test that uses magnetic fields and radio waves to produce images of the brain to assess for the presence of hydrocephalus, which is a condition where there is an accumulation of cerebrospinal fluid in the brain.","mri hydrocephalus screen"
1348,"Daily Wound Vacuum Pump Treatment","This is a medical procedure known as Negative Pressure Wound Therapy (NPWT) or wound vacuum-assisted closure (Wound VAC). It involves using a specialized device called a wound vac pump to apply negative pressure to a wound or surgical incision to promote healing and protect the area from infections. The wound vac pump needs to be charged and changed on a daily basis.","*wound vac pump daily charge"
1349,"Dragonfly Oct Catheter Procedure.","No description.","dragonfly oct catheter"
1350,"ICD Dual Lead Replacement Surgery","This medical procedure involves the removal and replacement of an implanted cardioverter-defibrillator (ICD) dual lead system, which is a device that monitors and regulates the heart's rhythm to prevent dangerous arrhythmias. The procedure may be necessary if the existing system malfunctions or if an upgrade is required. It typically involves the removal of the old leads and insertion of new leads through a vein into the heart, attaching them to the ICD device, and testing the system to ensure proper function.","removal w replacment icd dual lead system"
1351,"Cardiac Event Recorder Extraction","The medical procedure is the removal of a PT-activated cardiac event recorder. It is a small device that is implanted under the skin of the chest to monitor the heart's rhythm and detect any abnormalities. When activated by the patient, it records the heart's activity and can transmit the data to a healthcare provider for analysis. Removal of the recorder involves a simple outpatient procedure, where the device is gently extracted under local anesthesia.","removal pt-activate cardiac event recorder"
1352,"SPECT Tumor Localization Removal.","No Description","deleted spect tumor localizaton"
1353,"CT Urography (abbreviated as CTU)","It is a medical imaging procedure that combines a computerized tomography (CT) scan with a contrast dye injection to visualize the urinary tract, including the kidneys, ureters, and bladder. It is commonly used to diagnose and monitor conditions such as kidney stones, urinary tract infections, and cancers of the urinary system.","ct urogram"
1354,"Removal of Cardiac Rhythm Monitor","The medical procedure of removing a cardiac rhythm monitor involves the removal of an implanted or external device that is used to monitor a patient's heart rhythm. This procedure may be necessary after a certain period of time or following the completion of monitoring. The device is typically removed under local anesthesia, and the procedure is generally not considered to be complex.","cardiac rhythm monitor removal"
1355,"Direct admission for observation.","Direct admission for observation.","direct admit to observation"
1356,"Multiscreen Qualitative Drug Test","No description.","drug screen qual mult"
1357,"so infct ag amp prob,ea,m 4723862","No description.","so infct ag amp prob,ea,m 4723862"
1358,"MyoSure Tissue Removal Procedure.","Medical Procedure: Tissue Removal with MyoSure Tissue Removal System (10-401)","device tissue removal myosure 10-401"
1359,"Xenon Lamp Replacement Procedure.","Xenon Lamp Replacement Procedure.","lamp replacement bulb 300w xenon ls7701"
1360,"Gripping Analysis Procedure (GAP)","This is a medical procedure where a biopsy is taken using forceps, which is a tool that is used to grab and remove a small piece of tissue or growth for examination. The forceps are guided into the body through an incision or natural opening, such as the mouth or rectum, depending on where the biopsy is needed. The tissue is then sent to a laboratory for analysis to help diagnose or rule out a medical condition.","forceps biopsy 100502"
1361,"Femoral Head Replacement Surgery.","This is a medical procedure known as total hip arthroplasty or hip replacement surgery. It involves replacing the damaged or worn-out hip joint with an artificial implant that includes a femoral head and a stem, often made of metal or ceramic. The code 55C 108155 likely represents a specific billing code or identification number for the procedure.","hip head femoral replacement 55c 108155"
1362,"Quick Connect 4.5mm Tap Procedure","Quick Connect 4.5mm Tap Procedure","tap quick connect 4.5mm"
1363,"pump penile preconnect ms 700 cxr","pump penile preconnect ms 700 cxr","pump penile preconnect ms 700 cxr"
